SraId,simpson,observed_features,chao1,shannon,
SRR17272210,0.991796994713089,587.0,618.0588235294117,8.234537141623806,
SRR14132713,0.9944867591343067,1664.0,1664.0,9.263693555766409,
SRR17272211,0.9974551726510521,1185.0,1192.9655172413793,9.503452503691362,
SRR17272212,0.9976557583179073,1315.0,1368.0357142857142,9.646767069636011,
SRR3347835,0.9280692266089778,19.0,20.666666666666668,4.016283580676734,
SRR17272209,0.9919985683702408,579.0,616.0,8.162069434192702,
SRR17272220,0.9972993220999498,1200.0,1202.2,9.460887258656214,
SRR5070351,0.9895580060711765,331.0,331.0,7.429222065050609,
SRR17272221,0.9957899706319894,710.0,740.2727272727273,8.694869387486296,
SRR5070352,0.9918407969032326,269.0,269.0,7.390504203294287,
SRR17272222,0.992805697466013,629.0,669.0714285714286,8.263800829567819,
SRR5070353,0.9907316791738505,256.0,256.0,7.223462906823304,
SRR17272223,0.9902156875362066,513.0,536.0,7.966386305533942,
SRR5070350,0.9928900159298703,307.0,307.0,7.623313294984482,
SRR17272213,0.993869809641641,738.0,777.5454545454545,8.590012854515685,
SRR17272214,0.9961289162809088,1366.0,1386.8125,9.492643419818371,
SRR17272215,0.9956881204089011,1171.0,1193.8947368421052,9.250640856473455,
SRR17272216,0.9965458904415346,1211.0,1252.0526315789473,9.464117916544419,
SRR17272217,0.9943984830546917,971.0,975.6896551724138,8.972559182041934,
SRR17272218,0.9970420828845475,1211.0,1218.4516129032259,9.46542263961855,
SRR17272219,0.9957946635400714,1226.0,1253.3333333333333,9.291217373317776,
SRR14132772,0.9954853226253719,1750.0,1750.0,9.422704993461867,
SRR5070400,0.9881225130243217,261.0,261.0,7.142074867391686,
SRR5070368,0.9915134541207506,258.0,258.0,7.3238392465219455,
SRR5070401,0.9897430531933593,295.0,295.0,7.328072674110334,
SRR5070402,0.9932678442752331,291.0,291.0,7.581506986647456,
SRR5070362,0.9884853588341012,306.0,306.0,7.319814338414773,
SRR5070365,0.9906068584676434,279.0,279.0,7.334936027771356,
SRR3344230,0.9409042363830544,27.0,27.333333333333332,4.412396409036945,
SRR3344233,0.8506616257088847,11.0,13.0,3.114589262293243,
SRR5070360,0.9931604033920964,269.0,269.0,7.5309026159894215,
SRR14132771,0.9928226726185,1766.0,1766.0,9.177621230803071,
SRR14132770,0.9932043680950818,1646.0,1646.0,9.145086501653656,
SRR21755668,0.9688168542507399,635.0,635.0,6.667583100875877,
SRR21755669,0.9628502640627643,563.0,563.0,6.336651170247679,
SRR14132769,0.9707383019409711,1349.0,1349.0,7.851705889476882,
SRR5070408,0.9920233264449816,305.0,305.0,7.51088864932115,
SRR5070409,0.9925749908145524,277.0,277.0,7.4848384084621005,
SRR5070403,0.987369881579153,243.0,243.0,7.045055649156079,
SRR5070405,0.9910791708911815,256.0,256.0,7.3018087494802675,
SRR14132762,0.9932933774200611,1745.0,1745.0,9.272257620822582,
SRR19159045,0.9909717160611654,781.0,782.8947368421053,8.048293652539295,
SRR5070377,0.992136593318147,313.0,313.0,7.543783209202625,
SRR14132761,0.9949945773347056,1942.0,1942.0,9.434575006199202,
SRR19159044,0.9787057072190316,668.0,680.5454545454545,7.417699489013781,
SRR5070411,0.9915415107119661,243.0,243.0,7.284985041721992,
SRR14132764,0.9944891985269392,1715.0,1715.0,9.298247421704257,
SRR14132763,0.9933133954623925,1606.0,1606.0,9.01528247625873,
SRR14132766,0.9885886903247715,1452.0,1452.0,8.471540150230721,
SRR19159041,0.0,1.0,1.0,-0.0,
SRR14132765,0.9945656787740423,1689.0,1689.0,9.177281986606353,
SRR5070374,0.9933475092057652,296.0,296.0,7.607978261449907,
SRR5070375,0.9929670815276269,337.0,337.0,7.675310248011958,
SRR14132767,0.9895766564774376,1586.0,1586.0,8.821360724932845,
SRR21497209,0.9679124548478723,354.0,354.0,6.880332683854059,
SRR21497202,0.9738704307108824,275.0,275.0,6.558447903914082,
SRR21755670,0.9504847021464187,564.0,564.0,5.939382779941506,
SRR21755671,0.944958014264221,591.0,591.0,6.110300935931728,
SRR18489243,0.8284023668639053,6.0,6.0,2.565448371820825,
SRR19159049,0.9932880048333412,1175.0,1187.5454545454545,8.662034192722608,
SRR21755674,0.9943256885535618,1907.0,1937.9375,9.491852118927412,
SRR18489244,0.7857142857142858,5.0,5.0,2.270942421748537,
SRR19159048,0.9932038370820254,1108.0,1121.142857142857,8.638220444105894,
SRR21755675,0.9917660560853874,1953.0,1985.5,9.180324016910346,
SRR14132760,0.9949788015049346,1873.0,1873.0,9.460018909373767,
SRR19159047,0.991853038409339,1137.0,1143.84,8.615056843432923,
SRR21755672,0.9916725934362258,1956.0,1961.2777777777778,9.15009773406611,
SRR18489242,0.9985641289081372,2960.0,3089.0309734513276,10.45723053991838,
SRR19159046,0.9829262940930116,642.0,652.9285714285714,7.5226547862383155,
SRR21755673,0.9940183249533222,2002.0,2013.341463414634,9.3976652186889,
SRR14132759,0.9955904108983785,2043.0,2043.0,9.636532301608561,
SRR14132758,0.9929489678863926,2042.0,2042.0,9.362006045402804,
SRR5070414,0.9907556166373368,294.0,294.0,7.439548369552498,
SRR5070415,0.9933476407892298,309.0,309.0,7.65578248460612,
SRR14132751,0.994670426845201,1834.0,1834.0,9.383128630633493,
SRR5070388,0.9899214821632801,294.0,294.0,7.365244807076737,
SRR5070421,0.9891445199923748,330.0,330.0,7.400340829723625,
SRR14132750,0.9962149837084788,1455.0,1455.0,9.265791593670388,
SRR29758323,0.9203110698740897,781.0,781.077922077922,6.211822353285397,
SRR5070422,0.9930082968456306,285.0,285.0,7.554614337666757,
SRR14132752,0.9957166418353056,1954.0,1954.0,9.540396191338782,
SRR14132755,0.9939797077856244,1560.0,1560.0,9.158154027959919,
SRR14132754,0.9955628814018453,1862.0,1862.0,9.487707734628996,
SRR14132757,0.9946387146577094,2048.0,2048.0,9.475117936755444,
SRR14132756,0.9921654770193291,1812.0,1812.0,9.233697490972215,
SRR5070387,0.9930402414221247,301.0,301.0,7.5912614635913185,
SRR17012292,0.9962216490275191,1532.0,1538.5131578947369,9.24948870051741,
SRR17012290,0.99624676439078,1442.0,1453.7191780821918,9.209383243966043,
SRR21497210,0.9701962940512955,232.0,232.0,6.380923619643674,
SRR17012293,0.9959391957724494,1596.0,1607.9267015706807,9.253694378459656,
SRR21497211,0.9705331847529852,245.0,245.0,6.328144034282012,
SRR21497212,0.9689433438068004,307.0,307.0,6.703167538316959,
SRR18489191,0.6666666666666667,3.0,3.0,1.584962500721156,
SRR18489190,0.7346938775510203,4.0,4.0,1.950212064914747,
SRR14132748,0.994126294688779,1998.0,1998.0,9.435350853876932,
SRR14132749,0.995955262760424,2019.0,2019.0,9.56655801973469,
SRR5070428,0.9887317802674289,305.0,305.0,7.277253389349237,
SRR14132740,0.995738630380165,1714.0,1714.0,9.38463798417127,
SRR16768000,0.9948610046383322,798.0,798.0,8.683694232642951,
SRR5070399,0.9914039361492897,286.0,286.0,7.40464351158205,
SRR5070432,0.9901394147697979,274.0,274.0,7.325829705568248,
SRR5070433,0.9929418195421019,278.0,278.0,7.518115078903524,
SRR14132742,0.9957762198211789,1787.0,1787.0,9.430000215949855,
SRR29758315,0.9054682703906876,734.0,734.1428571428571,5.8260610375710575,
SRR14132741,0.996613008212165,1856.0,1856.0,9.59970468694954,
SRR14132744,0.995431681117891,1833.0,1833.0,9.419644686095484,
SRR14132743,0.9921946531245017,1661.0,1661.0,8.951675266526301,
SRR14132746,0.9939706578830062,1911.0,1911.0,9.279100317321555,
SRR5070397,0.990810624383853,318.0,318.0,7.488698956869249,
SRR14132745,0.9943437277640748,1720.0,1720.0,9.162646460815528,
SRR5070398,0.9925490236665909,279.0,279.0,7.490953628990376,
SRR5070431,0.9938445991982752,322.0,322.0,7.740277276299316,
SRR5070391,0.9932078163815905,293.0,293.0,7.579778494284209,
SRR5070392,0.9905414202586922,323.0,323.0,7.471125775130547,
SRR5070394,0.9899299002117192,249.0,249.0,7.212529129588281,
SRR18489188,0.9924309745048089,2882.0,3059.5597014925374,9.934230083912691,
SRR18489189,0.75,4.0,4.0,2.0,
SRR3344234,0.9520635231840016,37.0,45.27272727272727,4.787758846253686,
SRR3344236,0.963436385255648,39.0,39.625,5.042272608616376,
SRR14132737,0.996089170080133,1661.0,1661.0,9.334868456961614,
SRR14132739,0.9963727148016411,1628.0,1628.0,9.285910634974877,
SRR14132738,0.9942340458281359,1587.0,1587.0,9.053633011227944,
SRR5070436,0.9910762103690348,281.0,281.0,7.33985180039802,
SRR16768001,0.9930479115321003,701.0,701.0,8.49795325415295,
SRR17012277,0.9968792048869771,1490.0,1503.148148148148,9.431263364824408,
SRR17012278,0.9961733154975655,1585.0,1595.2837209302324,9.382981616988975,
SRR14132731,0.9944150455915979,1834.0,1834.0,9.267327811351958,
SRR17012275,0.9828658629363695,1348.0,1359.171875,8.44967551652574,
SRR14132730,0.9964498098437032,1908.0,1908.0,9.566223164080684,
SRR17012276,0.9894851033683817,1264.0,1276.760736196319,8.597167691395368,
SRR14132733,0.9943840030786331,1827.0,1827.0,9.40482790592497,
SRR14132732,0.9959840186893553,1882.0,1882.0,9.460953581424565,
SRR14132735,0.9956145354445793,1685.0,1685.0,9.271653355439424,
SRR17012279,0.9968898523496041,1569.0,1587.826923076923,9.428542986308587,
SRR14132734,0.9952459711751312,1742.0,1742.0,9.34668896420595,
SRR17012274,0.9868235882651492,1315.0,1325.2670807453417,8.395038119540102,
SRR21497195,0.9897436456891753,499.0,499.0,7.685693369633088,
SRR14132726,0.9958851295118967,1717.0,1717.0,9.356475151050846,
SRR14132728,0.9970340704639319,2002.0,2002.0,9.659477578728183,
SRR14132727,0.9930588810958546,1939.0,1939.0,9.356735079531658,
SRR14132729,0.9951325600747708,1976.0,1976.0,9.470498896701784,
SRR17012288,0.9745184030214507,949.0,957.7328767123288,7.299581529240914,
SRR17012289,0.9891963209093886,1005.0,1019.0503597122303,8.060280524948693,
SRR14132720,0.9955446798780369,1739.0,1739.0,9.365356546597212,
SRR17012286,0.9978882916517341,1756.0,1775.958904109589,9.749332268306,
SRR17012287,0.9872462648581144,1055.0,1064.746835443038,7.9002001532735395,
SRR14132722,0.9966286913913209,1885.0,1885.0,9.652634384695197,
SRR18489207,0.9949853507760092,2466.0,2606.2743902439024,9.684330018409836,
SRR14132721,0.9952061593463161,1775.0,1775.0,9.349117186935564,
SRR18489208,0.9971670892070422,2415.0,2560.125,9.919938080477138,
SRR14132724,0.993691762116069,1555.0,1555.0,9.107262284256175,
SRR14132723,0.9948975986617691,1827.0,1827.0,9.379567972499792,
SRR21429936,0.9921395188351867,1177.0,1202.5373134328358,8.978490377872474,
SRR17012281,0.9933391440955522,1423.0,1439.3636363636363,8.995581727866028,
SRR21429935,0.9875445852586349,1060.0,1072.857142857143,8.658968620644696,
SRR21429934,0.8412917421926431,22.0,22.0,3.3898345984730387,
SRR17012284,0.9977308219258246,1788.0,1801.6093023255814,9.773387427826691,
SRR17012285,0.9978056509824879,1787.0,1801.6714285714286,9.774855650595573,
SRR21429939,0.7453598913535536,10.0,10.0,2.5198920414838097,
SRR17012282,0.9930716009287157,1511.0,1522.5759162303666,8.943871105655612,
SRR21429938,0.9930201074632176,528.0,537.375,8.201990892053265,
SRR17012283,0.9951280793379995,1485.0,1499.1089108910892,9.052751850094385,
SRR21429937,0.99601579064039,1131.0,1161.5,9.23869056269629,
SRR14132715,0.9942001857501229,1689.0,1689.0,9.139949579782142,
SRR14132717,0.9947930269588271,1738.0,1738.0,9.241029177879383,
SRR14132716,0.99598756835666,1778.0,1778.0,9.456502243536226,
SRR14132719,0.9856265161363347,1561.0,1561.0,8.457570627646879,
SRR14132718,0.9945731567701883,1730.0,1730.0,9.153767869548638,
